                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                 0.5509,                0.35903,                 1.6984,                0.60477,                0.63155,                0.61054,                0.48941,                0.84612,                0.55936,                 2.0421,              0.0013237,              0.0013237,              0.0013237
                    106,                0.57363,                0.36981,                 1.6939,                0.46844,                0.51888,                0.52421,                0.39046,                 1.0313,                0.61973,                 2.1372,              0.0013204,              0.0013204,              0.0013204
                    107,                0.55502,                0.36939,                 1.7124,                0.60845,                 0.6297,                0.59013,                0.46264,                0.93069,                0.57827,                 2.0549,              0.0013171,              0.0013171,              0.0013171
                    108,                0.54822,                0.35762,                 1.7119,                 0.5779,                0.62428,                0.56963,                0.47279,                0.78718,                0.57304,                 1.9841,              0.0013138,              0.0013138,              0.0013138
                    109,                0.57821,                0.36692,                 1.7296,                0.60983,                 0.6503,                0.56647,                0.43946,                0.94985,                0.58575,                   2.14,              0.0013105,              0.0013105,              0.0013105
                    110,                0.54556,                0.35468,                 1.6978,                0.57903,                0.62191,                0.55904,                0.45352,                0.82042,                0.56731,                 2.0002,              0.0013072,              0.0013072,              0.0013072
                    111,                 0.5441,                 0.3564,                 1.6792,                0.61258,                0.60108,                0.56303,                0.44735,                0.88276,                0.57846,                 2.0886,              0.0013039,              0.0013039,              0.0013039
                    112,                0.56702,                0.36656,                 1.7381,                0.62071,                0.56479,                0.56357,                0.45024,                0.84758,                0.61717,                 2.0566,              0.0013006,              0.0013006,              0.0013006
                    113,                0.54708,                0.35713,                 1.7079,                0.63402,                0.59127,                0.56424,                0.45266,                0.87949,                0.58627,                 2.0599,              0.0012973,              0.0012973,              0.0012973
                    114,                0.55229,                0.35554,                 1.6982,                0.52602,                 0.6087,                0.53174,                0.41379,                0.92806,                 0.5649,                 2.1305,               0.001294,               0.001294,               0.001294
                    115,                 0.5519,                0.36232,                 1.6902,                0.65837,                0.60855,                0.59772,                0.45429,                0.98187,                0.55617,                 2.1688,              0.0012907,              0.0012907,              0.0012907
                    116,                0.56306,                0.36195,                 1.7029,                0.67681,                0.58377,                0.57294,                0.44216,                0.97106,                0.56796,                 2.1049,              0.0012874,              0.0012874,              0.0012874
                    117,                0.55934,                0.36733,                 1.7389,                0.57647,                0.64468,                 0.5992,                0.48118,                 0.8899,                0.55062,                 2.1157,              0.0012841,              0.0012841,              0.0012841
                    118,                0.53549,                0.34519,                 1.7092,                0.65719,                0.58321,                0.56205,                0.43451,                0.93546,                0.54783,                 2.0951,              0.0012808,              0.0012808,              0.0012808
                    119,                0.55231,                0.36092,                  1.708,                0.58973,                0.66365,                0.60766,                0.48889,                0.85001,                0.62603,                 2.0559,              0.0012775,              0.0012775,              0.0012775
                    120,                0.52545,                0.34843,                 1.7119,                0.58713,                0.60682,                0.56126,                0.46877,                  0.726,                0.50831,                 1.9654,              0.0012742,              0.0012742,              0.0012742
                    121,                0.54351,                0.35637,                 1.7008,                0.53545,                0.66639,                  0.546,                0.43523,                0.90965,                0.60544,                  2.095,              0.0012709,              0.0012709,              0.0012709
                    122,                0.54338,                0.34201,                 1.6916,                0.58111,                0.70292,                0.58982,                0.47447,                  0.899,                0.62581,                 2.0652,              0.0012676,              0.0012676,              0.0012676
                    123,                0.54881,                0.36861,                 1.6814,                0.64323,                0.55585,                0.53676,                0.43641,                0.85141,                0.55399,                 2.0454,              0.0012643,              0.0012643,              0.0012643
                    124,                0.55326,                0.36058,                  1.697,                0.55389,                0.56506,                0.53214,                0.42687,                0.86716,                0.54498,                 2.0634,               0.001261,               0.001261,               0.001261
                    125,                0.53286,                0.33973,                 1.6668,                0.53125,                0.58696,                0.53331,                0.41905,                0.90718,                0.53111,                 2.0965,              0.0012577,              0.0012577,              0.0012577
                    126,                0.54443,                0.35908,                 1.6904,                0.60329,                0.58459,                0.55957,                0.45717,                0.76092,                0.51101,                 2.0101,              0.0012544,              0.0012544,              0.0012544
                    127,                0.55143,                0.36175,                  1.704,                0.59412,                0.62926,                0.56051,                0.44967,                0.86961,                0.54298,                 2.1068,              0.0012511,              0.0012511,              0.0012511
                    128,                0.56149,                 0.3584,                 1.7062,                0.53249,                0.82609,                0.59543,                0.49132,                0.80238,                0.55066,                 2.0128,              0.0012478,              0.0012478,              0.0012478
                    129,                0.53937,                0.35574,                 1.6992,                0.59346,                 0.6272,                0.55888,                0.45315,                0.86275,                0.55703,                   2.06,              0.0012445,              0.0012445,              0.0012445
                    130,                0.53485,                0.34805,                 1.7043,                0.54942,                 0.5852,                0.55814,                0.44373,                0.90466,                0.56083,                 2.0825,              0.0012412,              0.0012412,              0.0012412
